Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
184,Billie Eilish & Khalid,Lovely,2022-12-24,174,70,119,https://charts-static.billboard.com/img/2018/05/billie-eilish-lrt-lovely-hww-180x180.jpg
185,Coldplay,Yellow,2022-12-24,162,68,88,https://charts-static.billboard.com/img/2005/06/coldplay-bm3-yellow-ty6-180x180.jpg
186,Bing Crosby & The Andrews Sisters,Mele Kalikimaka (Merry Christmas),2022-12-24,-,73,8,https://charts-static.billboard.com/img/2010/11/bing-crosby-q6i-180x180.jpg
187,Joji,Die For You,2022-12-24,154,34,6,https://charts-static.billboard.com/img/2017/11/joji-77h-180x180.jpg
188,Drake & 21 Savage,Spin Bout U,2022-12-24,145,7,6,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
189,Taylor Swift,Maroon,2022-12-24,130,4,8,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
190,Farruko,Pepas,2022-12-24,169,7,74,https://charts-static.billboard.com/img/2021/07/farruko-lo8-pepas-ymw-180x180.jpg
191,Hotel Ugly,Shut Up My Moms Calling,2022-12-24,-,191,2,https://charts-static.billboard.com/img/2022/10/hotelugly-hhr-180x180.jpg
192,Elton John & Britney Spears,Hold Me Closer,2022-12-24,149,6,16,https://charts-static.billboard.com/img/2022/09/elton-john-m6x-holdmecloser-cos-180x180.jpg
193,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),2022-12-24,189,41,119,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
194,Ed Sheeran,Shape Of You,2022-12-24,184,55,119,https://charts-static.billboard.com/img/2017/01/ed-sheeran-w3r-shape-of-you-0ej-180x180.jpg
195,Billie Eilish,Happier Than Ever,2022-12-24,167,6,72,https://charts-static.billboard.com/img/2021/08/billie-eilish-lrt-happier-than-ever-xd9-180x180.jpg
196,Wisin & Yandel + Rosalia,Besos Moja2,2022-12-24,159,102,11,https://charts-static.billboard.com/img/2022/10/wisin-yandel-cfr-besosmoja2-9u8-180x180.jpg
197,Taylor Swift,"You're On Your Own, Kid",2022-12-24,144,7,8,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
198,Lil Nas X & Jack Harlow,Industry Baby,2022-12-24,172,2,73,https://charts-static.billboard.com/img/2021/08/lil-nas-x-qv4-industry-baby-bw6-180x180.jpg
199,Bailey Zimmerman,Rock And A Hard Place,2022-12-24,178,59,27,https://charts-static.billboard.com/img/2022/06/baileyzimmerman-qt3-rockandahardplace-zsw-180x180.jpg
200,Coldplay,Viva La Vida,2022-12-24,185,114,17,https://charts-static.billboard.com/img/2008/05/coldplay-bm3-viva-la-vida-oj6-180x180.jpg
1,Mariah Carey,All I Want For Christmas Is You,2022-12-17,1,1,25,https://charts-static.billboard.com/img/2004/12/mariah-carey-tgq-180x180.jpg
2,Wham!,Last Christmas,2022-12-17,5,2,21,https://charts-static.billboard.com/img/1978/05/wham-usx-106x106.jpg
3,"Metro Boomin, The Weeknd & 21 Savage",Creepin',2022-12-17,-,3,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
4,Brenda Lee,Rockin' Around The Christmas Tree,2022-12-17,4,3,18,https://charts-static.billboard.com/img/2005/12/brenda-lee-fbd-rockin-around-the-christmas-tree-k4k-180x180.jpg
5,Sam Smith & Kim Petras,Unholy,2022-12-17,2,1,11,https://charts-static.billboard.com/img/2022/10/sam-smith-jw8-unholy-dry-180x180.jpg
6,Bobby Helms,Jingle Bell Rock,2022-12-17,8,4,18,https://charts-static.billboard.com/img/2006/12/bobby-helms-xys-jingle-bell-rock-f0t-180x180.jpg
7,Taylor Swift,Anti-Hero,2022-12-17,3,1,7,https://charts-static.billboard.com/img/2022/11/taylor-swift-824-antihero-5fz-180x180.jpg
8,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains),2022-12-17,-,8,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
9,Ariana Grande,Santa Tell Me,2022-12-17,15,5,18,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-9mb-180x180.jpg
10,Michael Buble,It's Beginning To Look A Lot Like Christmas,2022-12-17,17,6,18,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg
11,Harry Styles,As It Was,2022-12-17,9,1,36,https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-frn-180x180.jpg
12,Drake & 21 Savage,Rich Flex,2022-12-17,6,1,5,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
13,David Guetta & Bebe Rexha,I'm Good (Blue),2022-12-17,7,2,15,https://charts-static.billboard.com/img/2022/09/david-guetta-ruw-imgoodblue-rkt-180x180.jpg
14,Andy Williams,It's The Most Wonderful Time Of The Year,2022-12-17,18,7,17,https://charts-static.billboard.com/img/2005/12/andy-williams-lz2-its-the-most-wonderful-time-of-the-year-iho-180x180.jpg
15,Kelly Clarkson,Underneath The Tree,2022-12-17,21,8,17,https://charts-static.billboard.com/img/2002/09/kelly-clarkson-w89-180x180.jpg
16,Rema & Selena Gomez,Calm Down,2022-12-17,10,5,23,https://charts-static.billboard.com/img/2022/04/rema-000-calmdown-55o-180x180.jpg
17,Jose Feliciano,Feliz Navidad,2022-12-17,27,9,16,https://charts-static.billboard.com/img/1968/07/jose-feliciano-b5h-180x180.jpg
18,Burl Ives,A Holly Jolly Christmas,2022-12-17,25,13,16,https://charts-static.billboard.com/img/2004/12/burl-ives-tv0-180x180.jpg
19,Arcangel & Bad Bunny,La Jumpa,2022-12-17,-,19,1,https://charts-static.billboard.com/img/2022/12/arcangel-pqf-lajumpa-vaz-180x180.jpg
20,Meghan Trainor,Made You Look,2022-12-17,11,6,7,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg
21,"Metro Boomin, Travis Scott & 21 Savage",Niagara Falls (Foot Or 2),2022-12-17,-,21,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
22,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,2022-12-17,29,11,16,https://charts-static.billboard.com/img/2005/12/dean-martin-mm0-180x180.jpg
23,Metro Boomin Featuring Don Toliver & Future,Too Many Nights,2022-12-17,-,23,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
24,Manuel Turizo,La Bachata,2022-12-17,14,6,22,https://charts-static.billboard.com/img/2022/06/manuel-turizo-eml-la-bachata-1l6-180x180.jpg
25,Chris Brown,Under The Influence,2022-12-17,12,3,20,https://charts-static.billboard.com/img/2019/10/chris-brown-94g-undertheinfluence-eql-180x180.jpg
26,Bad Bunny & Chencho Corleone,Me Porto Bonito,2022-12-17,22,2,31,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
27,Bad Bunny,Titi Me Pregunto,2022-12-17,23,4,31,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
28,The Ronettes,Sleigh Ride,2022-12-17,36,13,15,https://charts-static.billboard.com/img/2011/12/the-ronettes-k1e-sleigh-ride-1yb-180x180.jpg
29,"Metro Boomin, 21 Savage & Young Nudy",Umbrella,2022-12-17,-,29,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
30,Metro Boomin & Travis Scott,Raindrops (Insane),2022-12-17,-,30,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
31,Tom Odell,Another Love,2022-12-17,19,14,84,https://charts-static.billboard.com/img/2013/01/tom-odell-qwt-180x180.jpg
32,Oliver Tree & Robin Schulz,Miss You,2022-12-17,16,11,9,https://charts-static.billboard.com/img/2022/10/oliver-tree-8zt-missyou-xhc-180x180.jpg
33,Bizarrap & Quevedo,"Bzrp Music Sessions, Vol. 52",2022-12-17,24,1,22,https://charts-static.billboard.com/img/2022/07/bizarrap-rsm-bzrp-music-sessions-vol-52-6r7-180x180.jpg
34,OneRepublic,I Ain't Worried,2022-12-17,20,5,27,https://charts-static.billboard.com/img/2022/06/onerepublic-m2z-i-aint-worried-6ds-180x180.jpg
35,RM With Youjeen,Wild Flower,2022-12-17,-,35,1,https://charts-static.billboard.com/img/2015/03/rm-gq5-180x180.jpg
36,RAYE Featuring 070 Shake,Escapism,2022-12-17,115,36,2,https://charts-static.billboard.com/img/2015/09/raye-pn7-180x180.jpg
37,Jung Kook,Dreamers (Music From The FIFA World Cup Qatar 2022),2022-12-17,13,9,3,https://charts-static.billboard.com/img/2022/12/jungkook-000-dreamersmusicfromthefifaworldcupqatar2022-mau-180x180.jpg
38,Steve Lacy,Bad Habit,2022-12-17,26,8,22,https://charts-static.billboard.com/img/2022/07/steve-lacy-d2o-badhabit-9nj-180x180.jpg
39,Sia,Snowman,2022-12-17,51,25,20,https://charts-static.billboard.com/img/2006/01/sia-0sp-180x180.jpg
40,Nat King Cole,The Christmas Song (Merry Christmas To You),2022-12-17,46,16,15,https://charts-static.billboard.com/img/2008/12/nat-king-cole-wkp-180x180.jpg
41,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look Like Christmas,2022-12-17,52,27,14,https://charts-static.billboard.com/img/1958/08/perry-como-v1s-180x180.jpg
42,"Metro Boomin, Travis Scott & Young Thug",Trance,2022-12-17,-,42,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
43,Bing Crosby,White Christmas,2022-12-17,50,24,15,https://charts-static.billboard.com/img/2006/12/bing-crosby-q6i-180x180.jpg
44,The Weeknd & Ariana Grande,Save Your Tears,2022-12-17,31,1,101,https://charts-static.billboard.com/img/2020/12/the-weeknd-xmx-save-your-tears-e5b-180x180.jpg
45,Justin Bieber,Mistletoe,2022-12-17,54,19,16,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg
46,Metro Boomin & John Legend,On Time,2022-12-17,-,46,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
47,Metro Boomin & Young Thug,Metro Spider,2022-12-17,-,47,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
48,Darlene Love,Christmas (Baby Please Come Home),2022-12-17,62,27,15,https://charts-static.billboard.com/img/2012/12/darlene-love-pok-180x180.jpg
49,The Weeknd,Die For You,2022-12-17,38,36,40,https://charts-static.billboard.com/img/2016/12/the-weeknd-xmx-dieforyou-yho-180x180.jpg
50,Ozuna Featuring Feid,Hey Mor,2022-12-17,32,27,8,https://charts-static.billboard.com/img/2016/04/ozuna-gin-180x180.jpg
51,Band Aid,Do They Know It's Christmas?,2022-12-17,63,20,14,https://charts-static.billboard.com/img/2013/12/band-aid-000-do-they-know-its-christmas-oj7-180x180.jpg
52,Beyonce,Cuff It,2022-12-17,30,12,19,https://charts-static.billboard.com/img/2002/06/beyonce-0na-180x180.jpg
53,Stephen Sanchez,Until I Found You,2022-12-17,55,44,30,https://charts-static.billboard.com/img/2022/05/stephensanchez-s9k-untilifoundyou-n64-180x180.jpg
54,Lady Gaga,Bloody Mary,2022-12-17,-,54,1,https://charts-static.billboard.com/img/2008/04/lady-gaga-b8x-180x180.jpg
55,Glass Animals,Heat Waves,2022-12-17,39,1,101,https://charts-static.billboard.com/img/2020/07/glass-animals-rtd-heat-waves-1lv-180x180.jpg
56,Metro Boomin Featuring Don Toliver,Around Me,2022-12-17,-,56,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
57,Paul McCartney,Wonderful Christmastime,2022-12-17,72,18,15,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg
58,Rihanna,Lift Me Up,2022-12-17,28,3,6,https://charts-static.billboard.com/img/2022/11/rihanna-k0p-liftmeup-76v-180x180.jpg
59,Metro Boomin & 21 Savage Featuring Mustafa,Walk Em Down (Don't Kill Civilians),2022-12-17,-,59,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
60,Ed Sheeran & Elton John,Merry Christmas,2022-12-17,132,15,6,https://charts-static.billboard.com/img/2021/12/ed-sheeran-w3r-merry-christmas-kfq-180x180.jpg
61,Michael Buble,Holly Jolly Christmas,2022-12-17,78,29,13,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg
62,Rosalia,Despecha,2022-12-17,35,6,19,https://charts-static.billboard.com/img/2022/08/rosalia-88x-despecha-hsd-180x180.jpg
63,Bad Bunny & Bomba Estereo,Ojitos Lindos,2022-12-17,42,4,31,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
64,Bad Bunny,Efecto,2022-12-17,43,7,31,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
65,JVKE,Golden Hour,2022-12-17,33,25,15,https://charts-static.billboard.com/img/2022/09/jvke-4lr-goldenhour-qcn-180x180.jpg
66,Frank Sinatra,Jingle Bells,2022-12-17,73,42,13,https://charts-static.billboard.com/img/2010/12/frank-sinatra-ytu-180x180.jpg
67,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over),2022-12-17,93,26,12,https://charts-static.billboard.com/img/1969/02/john-lennon-0fr-180x180.jpg
68,Kenshi Yonezu,Kick Back,2022-12-17,34,13,9,https://charts-static.billboard.com/img/2022/10/kenshi-yonezu-aoz-kickback-867-180x180.jpg
69,Metro Boomin & Future Featuring Don Toliver,I Can't Save You (Interlude),2022-12-17,-,69,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
70,Rosa Linn,Snap,2022-12-17,40,18,22,https://charts-static.billboard.com/img/2022/07/rosalinn-rc0-snap-c77-180x180.jpg
71,Official HIGE DANdism,Subtitle,2022-12-17,45,29,8,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
72,Lil Uzi Vert,Just Wanna Rock,2022-12-17,37,30,8,https://charts-static.billboard.com/img/2022/10/lil-uzi-vert-g7z-justwannarock-cn5-180x180.jpg
73,Eminem,Mockingbird,2022-12-17,44,44,8,https://charts-static.billboard.com/img/2011/01/eminem-6zg-mockingbird-e6r-180x180.jpg
74,The Neighbourhood,Sweater Weather,2022-12-17,49,25,115,https://charts-static.billboard.com/img/2013/03/the-neighbourhood-ro9-180x180.jpg
75,Zach Bryan,Something In The Orange,2022-12-17,47,23,32,https://charts-static.billboard.com/img/2022/05/zach-bryan-cfd-something-in-the-orange-8ma-180x180.jpg
76,Shakin' Stevens,Merry Christmas Everyone,2022-12-17,110,40,12,https://charts-static.billboard.com/img/1984/04/shakin-stevens-os2-180x180.jpg
77,Morgan Wallen,One Thing At A Time,2022-12-17,-,77,1,https://charts-static.billboard.com/img/2022/12/morgan-wallen-nlu-onethingatatime-7ay-180x180.jpg
78,Nat King Cole,Deck The Halls,2022-12-17,80,73,11,https://charts-static.billboard.com/img/1958/08/nat-king-cole-wkp-180x180.jpg
79,Elvis Presley,Blue Christmas,2022-12-17,94,36,12,https://charts-static.billboard.com/img/2007/12/elvis-presley-nq7-180x180.jpg
80,The Weeknd,Blinding Lights,2022-12-17,59,2,118,https://charts-static.billboard.com/img/2019/12/the-weeknd-xmx-blinding-lights-q48-180x180.jpg
81,The Kid LAROI & Justin Bieber,Stay,2022-12-17,56,1,74,https://charts-static.billboard.com/img/2021/07/the-kid-laroi-qev-stay-vsd-180x180.jpg
82,Elton John & Dua Lipa,Cold Heart (PNAU Remix),2022-12-17,58,3,69,https://charts-static.billboard.com/img/2021/08/elton-john-m6x-cold-heart-pnau-remix-8pz-180x180.jpg
83,Metro Boomin & A$AP Rocky Featuring Takeoff,Feel The Fiyaaaah,2022-12-17,-,83,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
84,Bad Bunny,Moscow Mule,2022-12-17,67,2,31,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
85,LE SSERAFIM,Antifragile,2022-12-17,53,38,8,https://charts-static.billboard.com/img/2022/05/lesserafim-71a-180x180.jpg
86,Taylor Swift,Lavender Haze,2022-12-17,41,2,7,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
87,Chris Rea,Driving Home For Christmas,2022-12-17,127,27,12,https://charts-static.billboard.com/img/1978/07/chris-rea-v5e-106x106.jpg
88,Jackson 5,Santa Claus Is Comin' To Town,2022-12-17,109,44,12,https://charts-static.billboard.com/img/2018/12/the-jacksons-34u-180x180.jpg
89,Imagine Dragons,Bones,2022-12-17,61,32,39,https://charts-static.billboard.com/img/2022/03/imagine-dragons-ud7-bones-8cg-180x180.jpg
90,Ed Sheeran,Shivers,2022-12-17,68,3,65,https://charts-static.billboard.com/img/2021/09/ed-sheeran-w3r-shivers-9kr-180x180.jpg
91,Eartha Kitt With Henri Rene And His Orchestra,Santa Baby,2022-12-17,123,53,12,https://charts-static.billboard.com/img/2006/12/eartha-kitt-000-santa-baby-f1p-180x180.jpg
92,Dua Lipa,Levitating,2022-12-17,66,2,114,https://charts-static.billboard.com/img/2020/04/dua-lipa-eqf-levitating-tr9-180x180.jpg
93,Joji,Glimpse Of Us,2022-12-17,65,2,26,https://charts-static.billboard.com/img/2022/06/joji-77h-glimpse-of-us-xra-180x180.jpg
94,Bad Bunny,Neverita,2022-12-17,76,16,31,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
95,Morgan Wallen,Tennessee Fan,2022-12-17,-,95,1,https://charts-static.billboard.com/img/2022/12/morgan-wallen-nlu-tennesseefan-wiq-180x180.jpg
96,Shakira + Ozuna,Monotonia,2022-12-17,57,18,7,https://charts-static.billboard.com/img/2022/10/shakiraozuna-000-monotonia-g79-180x180.jpg
97,Metro Boomin & Gunna,All The Money (Bonus),2022-12-17,-,97,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
98,"Metro Boomin, Travis Scott & Future",Lock On Me,2022-12-17,-,98,1,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
99,Drake Featuring 21 Savage,Jimmy Cooks,2022-12-17,77,3,25,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
100,d4vd,Romantic Homicide,2022-12-17,64,35,14,https://charts-static.billboard.com/img/2022/08/d4vd-7p1-180x180.jpg
101,Grupo Frontera,No Se Va,2022-12-17,69,31,11,https://charts-static.billboard.com/img/2022/09/grupofrontera-cdi-noseva-92t-180x180.jpg
102,Taylor Swift,Midnight Rain,2022-12-17,48,5,7,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
103,Karol G,Provenza,2022-12-17,90,6,33,https://charts-static.billboard.com/img/2022/04/karol-g-tb3-provenza-wah-180x180.jpg
104,The Beach Boys,Little Saint Nick,2022-12-17,145,53,12,https://charts-static.billboard.com/img/2010/12/the-beach-boys-nds-180x180.jpg
105,Feid,Feliz Cumpleanos Ferxxo,2022-12-17,79,61,14,https://charts-static.billboard.com/img/2016/10/feid-ug7-180x180.jpg
106,The Weeknd Featuring Daft Punk,Starboy,2022-12-17,91,52,75,https://charts-static.billboard.com/img/2011/11/the-weeknd-xmx-180x180.jpg
107,Chuck Berry,Run Rudolph Run,2022-12-17,137,22,13,https://charts-static.billboard.com/img/2014/01/chuck-berry-qde-180x180.jpg
108,SZA,Shirt,2022-12-17,99,18,6,https://charts-static.billboard.com/img/2022/11/sza-mhq-shirt-q8c-180x180.jpg
109,Ed Sheeran,Perfect,2022-12-17,83,30,118,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
110,d4vd,Here With Me,2022-12-17,105,105,4,https://charts-static.billboard.com/img/2022/08/d4vd-7p1-180x180.jpg
111,Taylor Swift,Bejeweled,2022-12-17,60,8,7,https://charts-static.billboard.com/img/2022/11/taylor-swift-824-bejeweled-x51-180x180.jpg
112,"Rauw Alejandro, Lyanno & Brray",Lokera,2022-12-17,89,55,17,https://charts-static.billboard.com/img/2022/08/rauwalejandro-37g-lokera-3xf-180x180.jpg
113,Ed Sheeran,Bad Habits,2022-12-17,97,1,76,https://charts-static.billboard.com/img/2021/07/ed-sheeran-w3r-bad-habits-i7l-180x180.jpg
114,Gene Autry,Rudolph The Red-Nosed Reindeer,2022-12-17,124,54,12,https://charts-static.billboard.com/img/2010/11/gene-autry-o4a-180x180.jpg
115,Rauw Alejandro & Baby Rasta,Punto 40,2022-12-17,96,72,9,https://charts-static.billboard.com/img/2022/10/rauwalejandro-37g-punto40-7il-180x180.jpg
116,Arctic Monkeys,I Wanna Be Yours,2022-12-17,102,73,14,https://charts-static.billboard.com/img/2005/11/arctic-monkeys-4ey-180x180.jpg
117,BLACKPINK,Shut Down,2022-12-17,75,1,12,https://charts-static.billboard.com/img/2016/08/blackpink-l5z-180x180.jpg
118,Quavo & Takeoff,Hotel Lobby (Unc And Phew),2022-12-17,92,77,11,https://charts-static.billboard.com/img/2022/06/quavo-bdb-hotellobbyuncandphew-5ok-180x180.jpg
119,Pinkfong,Baby Shark,2022-12-17,121,38,117,https://charts-static.billboard.com/img/2018/07/pinkfong-2rz-180x180.jpg
120,Morgan Wallen,Days That End In Why,2022-12-17,-,120,1,https://charts-static.billboard.com/img/2022/12/morgan-wallen-nlu-daysthatendinwhy-in2-180x180.jpg
121,Future Featuring Drake & Tems,Wait For U,2022-12-17,113,2,32,https://charts-static.billboard.com/img/1988/03/future-f8b-180x180.jpg
122,Imagine Dragons X JID,Enemy,2022-12-17,106,3,58,https://charts-static.billboard.com/img/2021/11/imagine-dragons-ud7-enemy-hcl-180x180.jpg
123,Lil Nas X,Star Walkin' (League Of Legends Worlds Anthem),2022-12-17,88,21,11,https://charts-static.billboard.com/img/2022/10/lil-nas-x-qv4-starwalkinleagueoflegendsworldsanthem-s28-180x180.jpg
